epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_confusion_0,val_confusion_1,val_confusion_2,val_val_loss,val_val_acc_slice,seconds
47,5.6266661678215284e-05,0.3355392595674305,0.9987634984749815,268,0.6293881618789707,0.5111940298507462,0.4337320574162679,0.4353350281310224,0.6615,0.6367,0.5899,0.7424,0.3421,0.2167,132,76,60,"[98, 12, 22]","[34, 26, 16]","[38, 9, 13]",1.238714575767517,0.47842401500938087,19.915743827819824
48,5.470541566592577e-05,0.33502254119739716,0.9992580990849889,268,0.6208293265472058,0.503731343283582,0.4403242955874535,0.4411255411255411,0.652,0.6313,0.5792,0.6894,0.3816,0.25,132,76,60,"[91, 19, 22]","[34, 29, 13]","[29, 16, 15]",1.2566076517105103,0.46716697936210133,20.08106565475464
49,5.313952597646573e-05,0.3341242663102279,0.999670266259995,268,0.6323971736897435,0.48134328358208955,0.4470760233918128,0.44799612152553325,0.6592,0.6472,0.5908,0.5833,0.4079,0.35,132,76,60,"[77, 20, 35]","[25, 31, 20]","[26, 13, 21]",1.2978806495666504,0.45919324577861165,19.772119283676147
50,5.1570537953906474e-05,0.3334625649163301,0.9995878328249939,268,0.6336928465411437,0.5074626865671642,0.4374800637958533,0.4357193732193732,0.665,0.6499,0.5861,0.7045,0.4079,0.2,132,76,60,"[93, 22, 17]","[30, 31, 15]","[33, 15, 12]",1.2409085035324097,0.48358348968105064,19.94691038131714
51,5.0000000000000057e-05,0.3333764284168659,0.9993405325199901,268,0.6178053851355901,0.4925373134328358,0.43508771929824563,0.4386998311617398,0.6451,0.6318,0.5765,0.6667,0.3553,0.2833,132,76,60,"[88, 18, 26]","[35, 27, 14]","[35, 8, 17]",1.2496384382247925,0.4723264540337711,19.88998055458069
52,4.842946204609364e-05,0.3339678520873691,0.9992580990849889,268,0.6283181582886498,0.5,0.42477405635300375,0.4246683658448364,0.6534,0.6319,0.5997,0.7348,0.2895,0.25,132,76,60,"[97, 13, 22]","[40, 22, 14]","[37, 8, 15]",1.220118522644043,0.48358348968105064,18.137759685516357
53,4.686047402353438e-05,0.3328368073981432,0.9995878328249939,268,0.6292333687554276,0.4925373134328358,0.4392344497607656,0.43172475142251066,0.6644,0.651,0.5723,0.6212,0.5132,0.1833,132,76,60,"[82, 32, 18]","[25, 39, 12]","[25, 24, 11]",1.2640788555145264,0.46669793621013134,12.363347053527832
54,4.529458433407433e-05,0.33352519500659467,0.9986810650399802,268,0.640886286808307,0.48507462686567165,0.431632110579479,0.4278864669680497,0.6756,0.6361,0.611,0.6212,0.4737,0.2,132,76,60,"[82, 28, 22]","[26, 36, 14]","[27, 21, 12]",1.2534966468811035,0.4774859287054409,12.477267980575562
55,4.3733338321784836e-05,0.3321817071191575,0.9995878328249939,268,0.6247621036514225,0.5111940298507462,0.43676236044657096,0.4365451730951821,0.6508,0.6319,0.5916,0.7348,0.3421,0.2333,132,76,60,"[97, 17, 18]","[35, 26, 15]","[34, 12, 14]",1.232023000717163,0.48592870544090055,17.0858416557312
56,4.21782767479885e-05,0.33193537283097024,0.9994229659549914,268,0.6355521231004976,0.5261194029850746,0.4743487506645401,0.47643937594044505,0.6521,0.6486,0.606,0.6818,0.4079,0.3333,132,76,60,"[90, 18, 24]","[27, 31, 18]","[27, 13, 20]",1.2538172006607056,0.47607879924953095,18.593905210494995
57,4.0630934270713814e-05,0.3316296486339234,0.9997526996949962,268,0.6243344168194207,0.47761194029850745,0.42030834662413613,0.4196790896528277,0.6535,0.6458,0.5737,0.6364,0.4079,0.2167,132,76,60,"[84, 29, 19]","[26, 31, 19]","[34, 13, 13]",1.2439370155334473,0.4606003752345216,18.745025396347046
58,3.909283793017293e-05,0.3307334869085401,0.9998351331299975,268,0.625479421732808,0.5074626865671642,0.42886762360446573,0.42588267099216,0.6666,0.6536,0.5562,0.7348,0.3684,0.1833,132,76,60,"[97, 20, 15]","[35, 28, 13]","[36, 13, 11]",1.2134857177734375,0.48639774859287055,18.705663919448853
59,3.75655056417573e-05,0.33135014776837235,0.999670266259995,268,0.6437965347238761,0.4925373134328358,0.4275917065390749,0.42069095635972226,0.6716,0.646,0.6138,0.6591,0.4737,0.15,132,76,60,"[87, 27, 18]","[26, 36, 14]","[32, 19, 9]",1.2303966283798218,0.4845215759849906,18.630577564239502
60,3.605044469803859e-05,0.3306379317451158,0.9998351331299975,268,0.6371736668152109,0.5261194029850746,0.44803296119085595,0.44956636311415155,0.6628,0.6445,0.6042,0.7652,0.3289,0.25,132,76,60,"[101, 15, 16]","[36, 25, 15]","[39, 6, 15]",1.1905245780944824,0.5112570356472795,18.82616925239563
61,3.454915028125269e-05,0.3304207993402749,0.999670266259995,268,0.636607033586039,0.5149253731343284,0.4455608718766613,0.446108834517484,0.674,0.6426,0.5932,0.7121,0.4079,0.2167,132,76,60,"[94, 20, 18]","[27, 31, 18]","[36, 11, 13]",1.2117738723754883,0.49437148217636023,18.629920721054077
62,3.3063103987735474e-05,0.3308393060006389,0.9997526996949962,268,0.6269045220452921,0.5149253731343284,0.44811270600744285,0.44692945671419254,0.6481,0.6426,0.59,0.697,0.4474,0.2,132,76,60,"[92, 26, 14]","[30, 34, 12]","[38, 10, 12]",1.2404571771621704,0.47795497185741087,18.66642999649048
63,3.159377236576616e-05,0.33071010125144257,0.9998351331299975,268,0.6167274093188374,0.4962686567164179,0.4341041998936736,0.4350899044799423,0.6358,0.6153,0.599,0.6742,0.3947,0.2333,132,76,60,"[89, 24, 19]","[32, 30, 14]","[35, 11, 14]",1.2473678588867188,0.4709193245778612,18.83882451057434
64,3.0142605468261005e-05,0.32953488141821574,0.9999175665649987,268,0.6209796486837895,0.503731343283582,0.4302764486975013,0.4223070087663685,0.6561,0.6402,0.5666,0.697,0.4605,0.1333,132,76,60,"[92, 24, 16]","[29, 35, 12]","[36, 16, 8]",1.2353928089141846,0.46857410881801126,18.623536348342896
65,2.8711035421746404e-05,0.32967008352181393,1.0,268,0.6202040292331508,0.47761194029850745,0.39330143540669854,0.38653643275492017,0.6471,0.651,0.5626,0.7273,0.3026,0.15,132,76,60,"[96, 22, 14]","[38, 23, 15]","[40, 11, 9]",1.2357614040374756,0.4774859287054409,18.651740789413452
66,2.73004750130227e-05,0.330030770050645,0.9998351331299975,268,0.625355218880277,0.4925373134328358,0.4175970228601808,0.4128015365992632,0.6409,0.6292,0.606,0.7045,0.3816,0.1667,132,76,60,"[93, 27, 12]","[35, 29, 12]","[36, 14, 10]",1.2627452611923218,0.4906191369606004,18.650076866149902
67,2.5912316294914263e-05,0.3296605441057518,0.999670266259995,268,0.6250815583947357,0.5298507462686567,0.4323763955342903,0.4239899280327717,0.6502,0.6156,0.6095,0.8182,0.3289,0.15,132,76,60,"[108, 14, 10]","[41, 25, 10]","[40, 11, 9]",1.198250651359558,0.48592870544090055,18.745126962661743
68,2.4547929212481466e-05,0.3294397488871486,0.9999175665649987,268,0.6088148956521635,0.4925373134328358,0.42530568846358324,0.4261633047519175,0.641,0.6057,0.5797,0.697,0.3289,0.25,132,76,60,"[92, 16, 24]","[33, 25, 18]","[33, 12, 15]",1.2389460802078247,0.4727954971857411,18.78709864616394
69,2.320866025105019e-05,0.3297491962740087,0.999670266259995,268,0.6303225417728127,0.5149253731343284,0.4490696438064859,0.45059067189651386,0.6546,0.641,0.5954,0.7121,0.3684,0.2667,132,76,60,"[94, 20, 18]","[32, 28, 16]","[33, 11, 16]",1.2349517345428467,0.4803001876172608,18.677515506744385
70,2.1895831107393498e-05,0.3295604406131502,0.9999175665649987,268,0.6207093296924954,0.5186567164179104,0.4378256246677299,0.43197411538582725,0.6555,0.621,0.5856,0.7424,0.4211,0.15,132,76,60,"[98, 20, 14]","[31, 32, 13]","[37, 14, 9]",1.218569040298462,0.47701688555347094,18.645148754119873
71,2.061073738537638e-05,0.32965267509376805,0.9998351331299975,268,0.622398977495243,0.5,0.4240297713981924,0.41482028340994254,0.6529,0.6338,0.5804,0.7045,0.4342,0.1333,132,76,60,"[93, 27, 12]","[31, 33, 12]","[35, 17, 8]",1.2154332399368286,0.4826454033771107,19.05996799468994
72,1.9354647317351198e-05,0.3294492480525101,0.9999175665649987,268,0.6242142940478854,0.5223880597014925,0.4394471026049973,0.4384967529010966,0.6451,0.6343,0.5933,0.7727,0.3289,0.2167,132,76,60,"[102, 15, 15]","[38, 25, 13]","[38, 9, 13]",1.1922880411148071,0.4906191369606004,18.97787356376648
73,1.812880051256554e-05,0.32883663238809663,0.9999175665649987,268,0.6160295914311007,0.5373134328358209,0.45140882509303565,0.4509691153276201,0.6505,0.6191,0.5785,0.7955,0.3421,0.2167,132,76,60,"[105, 11, 16]","[37, 26, 13]","[37, 10, 13]",1.2104194164276123,0.48545966228893056,18.68287420272827
74,1.693440673381744e-05,0.3291301404974858,0.999670266259995,268,0.6252043536099263,0.503731343283582,0.4465975544922913,0.4461639577227107,0.6652,0.6305,0.58,0.6591,0.4474,0.2333,132,76,60,"[87, 25, 20]","[28, 34, 14]","[31, 15, 14]",1.2293161153793335,0.4774859287054409,18.83597230911255
75,1.577264470356559e-05,0.3283640086606628,0.9999175665649987,268,0.6273684616467124,0.5186567164179104,0.44574694311536417,0.442201051261454,0.6551,0.6247,0.6022,0.7197,0.4342,0.1833,132,76,60,"[95, 27, 10]","[33, 33, 10]","[36, 13, 11]",1.1975934505462646,0.4896810506566604,18.877466917037964
76,1.464466094067265e-05,0.32859150562092987,0.9998351331299975,268,0.6231331985008456,0.503731343283582,0.43798511430090387,0.4379080318047454,0.6643,0.6198,0.5853,0.6894,0.4079,0.2167,132,76,60,"[91, 22, 19]","[29, 31, 16]","[34, 13, 13]",1.2133575677871704,0.48592870544090055,18.81320285797119
77,1.3551568628929456e-05,0.3283970746112748,0.9999175665649987,268,0.6244277230659777,0.5149253731343284,0.44136097820308345,0.43837645865043123,0.6534,0.6194,0.6005,0.7197,0.4211,0.1833,132,76,60,"[95, 22, 15]","[30, 32, 14]","[35, 14, 11]",1.2129768133163452,0.47842401500938087,18.761011600494385
78,1.249444651847704e-05,0.32786167991612397,0.9998351331299975,268,0.6237660846527914,0.5186567164179104,0.45180754917597027,0.4504851040711944,0.6542,0.6156,0.6014,0.7045,0.4342,0.2167,132,76,60,"[93, 24, 15]","[30, 33, 13]","[32, 15, 13]",1.2229795455932617,0.4817073170731707,15.76548147201538
